file_path,fruit,ripeness,class,class_idx
..\data\raw\banana\ripe\banana_ripe_0021.jpg,banana,ripe,banana_ripe,7
..\data\raw\mango\overripe\mango_overripe_0015.jpg,mango,overripe,mango_overripe,5
..\data\raw\tomato\unripe\tomato_unripe_0058.jpg,tomato,unripe,tomato_unripe,0
..\data\raw\mango\ripe\mango_ripe_0084.jpg,mango,ripe,mango_ripe,4
..\data\raw\banana\unripe\banana_unripe_0077.jpg,banana,unripe,banana_unripe,6
..\data\raw\banana\ripe\banana_ripe_0091.jpg,banana,ripe,banana_ripe,7
..\data\raw\banana\overripe\banana_overripe_0003.jpg,banana,overripe,banana_overripe,8
..\data\raw\mango\overripe\mango_overripe_0092.jpg,mango,overripe,mango_overripe,5
..\data\raw\banana\unripe\banana_unripe_0073.jpg,banana,unripe,banana_unripe,6
..\data\raw\tomato\ripe\tomato_ripe_0033.jpg,tomato,ripe,tomato_ripe,1
..\data\raw\tomato\unripe\tomato_unripe_0067.jpg,tomato,unripe,tomato_unripe,0
..\data\raw\mango\ripe\mango_ripe_0025.jpg,mango,ripe,mango_ripe,4
..\data\raw\banana\overripe\banana_overripe_0042.jpg,banana,overripe,banana_overripe,8
..\data\raw\banana\unripe\banana_unripe_0099.jpg,banana,unripe,banana_unripe,6
..\data\raw\mango\unripe\mango_unripe_0046.jpg,mango,unripe,mango_unripe,3
..\data\raw\tomato\ripe\tomato_ripe_0065.jpg,tomato,ripe,tomato_ripe,1
..\data\raw\tomato\unripe\tomato_unripe_0072.jpg,tomato,unripe,tomato_unripe,0
..\data\raw\banana\overripe\banana_overripe_0007.jpg,banana,overripe,banana_overripe,8
..\data\raw\mango\ripe\mango_ripe_0053.jpg,mango,ripe,mango_ripe,4
..\data\raw\mango\ripe\mango_ripe_0023.jpg,mango,ripe,mango_ripe,4
..\data\raw\banana\unripe\banana_unripe_0028.jpg,banana,unripe,banana_unripe,6
..\data\raw\tomato\overripe\tomato_overripe_0015.jpg,tomato,overripe,tomato_overripe,2
..\data\raw\tomato\unripe\tomato_unripe_0093.jpg,tomato,unripe,tomato_unripe,0
..\data\raw\mango\ripe\mango_ripe_0056.jpg,mango,ripe,mango_ripe,4
..\data\raw\mango\unripe\mango_unripe_0040.jpg,mango,unripe,mango_unripe,3
..\data\raw\banana\unripe\banana_unripe_0063.jpg,banana,unripe,banana_unripe,6
..\data\raw\mango\overripe\mango_overripe_0028.jpg,mango,overripe,mango_overripe,5
..\data\raw\mango\overripe\mango_overripe_0065.jpg,mango,overripe,mango_overripe,5
..\data\raw\banana\overripe\banana_overripe_0025.jpg,banana,overripe,banana_overripe,8
..\data\raw\tomato\ripe\tomato_ripe_0034.jpg,tomato,ripe,tomato_ripe,1
..\data\raw\mango\unripe\mango_unripe_0037.jpg,mango,unripe,mango_unripe,3
..\data\raw\tomato\overripe\tomato_overripe_0039.jpg,tomato,overripe,tomato_overripe,2
..\data\raw\mango\ripe\mango_ripe_0031.jpg,mango,ripe,mango_ripe,4
..\data\raw\banana\overripe\banana_overripe_0068.jpg,banana,overripe,banana_overripe,8
..\data\raw\mango\ripe\mango_ripe_0003.jpg,mango,ripe,mango_ripe,4
..\data\raw\mango\ripe\mango_ripe_0043.jpg,mango,ripe,mango_ripe,4
..\data\raw\mango\overripe\mango_overripe_0086.jpg,mango,overripe,mango_overripe,5
..\data\raw\banana\overripe\banana_overripe_0070.jpg,banana,overripe,banana_overripe,8
..\data\raw\mango\unripe\mango_unripe_0069.jpg,mango,unripe,mango_unripe,3
..\data\raw\banana\overripe\banana_overripe_0050.jpg,banana,overripe,banana_overripe,8
..\data\raw\tomato\ripe\tomato_ripe_0007.jpg,tomato,ripe,tomato_ripe,1
..\data\raw\mango\unripe\mango_unripe_0016.jpg,mango,unripe,mango_unripe,3
..\data\raw\banana\ripe\banana_ripe_0092.jpg,banana,ripe,banana_ripe,7
..\data\raw\tomato\overripe\tomato_overripe_0097.jpg,tomato,overripe,tomato_overripe,2
..\data\raw\mango\unripe\mango_unripe_0051.jpg,mango,unripe,mango_unripe,3
..\data\raw\tomato\overripe\tomato_overripe_0012.jpg,tomato,overripe,tomato_overripe,2
..\data\raw\tomato\overripe\tomato_overripe_0073.jpg,tomato,overripe,tomato_overripe,2
..\data\raw\mango\unripe\mango_unripe_0081.jpg,mango,unripe,mango_unripe,3
..\data\raw\banana\ripe\banana_ripe_0089.jpg,banana,ripe,banana_ripe,7
..\data\raw\banana\ripe\banana_ripe_0068.jpg,banana,ripe,banana_ripe,7
..\data\raw\mango\overripe\mango_overripe_0083.jpg,mango,overripe,mango_overripe,5
..\data\raw\mango\overripe\mango_overripe_0044.jpg,mango,overripe,mango_overripe,5
..\data\raw\mango\overripe\mango_overripe_0080.jpg,mango,overripe,mango_overripe,5
..\data\raw\tomato\unripe\tomato_unripe_0096.jpg,tomato,unripe,tomato_unripe,0
..\data\raw\tomato\overripe\tomato_overripe_0004.jpg,tomato,overripe,tomato_overripe,2
..\data\raw\tomato\unripe\tomato_unripe_0030.jpg,tomato,unripe,tomato_unripe,0
..\data\raw\tomato\unripe\tomato_unripe_0065.jpg,tomato,unripe,tomato_unripe,0
..\data\raw\mango\unripe\mango_unripe_0085.jpg,mango,unripe,mango_unripe,3
..\data\raw\banana\unripe\banana_unripe_0003.jpg,banana,unripe,banana_unripe,6
..\data\raw\tomato\unripe\tomato_unripe_0040.jpg,tomato,unripe,tomato_unripe,0
..\data\raw\banana\overripe\banana_overripe_0072.jpg,banana,overripe,banana_overripe,8
..\data\raw\mango\ripe\mango_ripe_0055.jpg,mango,ripe,mango_ripe,4
..\data\raw\mango\ripe\mango_ripe_0044.jpg,mango,ripe,mango_ripe,4
..\data\raw\banana\ripe\banana_ripe_0074.jpg,banana,ripe,banana_ripe,7
..\data\raw\banana\unripe\banana_unripe_0086.jpg,banana,unripe,banana_unripe,6
..\data\raw\banana\overripe\banana_overripe_0067.jpg,banana,overripe,banana_overripe,8
..\data\raw\tomato\overripe\tomato_overripe_0055.jpg,tomato,overripe,tomato_overripe,2
..\data\raw\tomato\ripe\tomato_ripe_0006.jpg,tomato,ripe,tomato_ripe,1
..\data\raw\banana\unripe\banana_unripe_0061.jpg,banana,unripe,banana_unripe,6
..\data\raw\banana\unripe\banana_unripe_0020.jpg,banana,unripe,banana_unripe,6
..\data\raw\mango\unripe\mango_unripe_0075.jpg,mango,unripe,mango_unripe,3
..\data\raw\tomato\overripe\tomato_overripe_0075.jpg,tomato,overripe,tomato_overripe,2
..\data\raw\tomato\unripe\tomato_unripe_0023.jpg,tomato,unripe,tomato_unripe,0
..\data\raw\mango\unripe\mango_unripe_0032.jpg,mango,unripe,mango_unripe,3
..\data\raw\tomato\unripe\tomato_unripe_0017.jpg,tomato,unripe,tomato_unripe,0
..\data\raw\banana\ripe\banana_ripe_0083.jpg,banana,ripe,banana_ripe,7
..\data\raw\mango\overripe\mango_overripe_0032.jpg,mango,overripe,mango_overripe,5
..\data\raw\mango\overripe\mango_overripe_0009.jpg,mango,overripe,mango_overripe,5
..\data\raw\mango\ripe\mango_ripe_0058.jpg,mango,ripe,mango_ripe,4
..\data\raw\tomato\ripe\tomato_ripe_0067.jpg,tomato,ripe,tomato_ripe,1
..\data\raw\banana\unripe\banana_unripe_0029.jpg,banana,unripe,banana_unripe,6
..\data\raw\tomato\ripe\tomato_ripe_0060.jpg,tomato,ripe,tomato_ripe,1
..\data\raw\banana\overripe\banana_overripe_0066.jpg,banana,overripe,banana_overripe,8
..\data\raw\banana\unripe\banana_unripe_0032.jpg,banana,unripe,banana_unripe,6
..\data\raw\banana\unripe\banana_unripe_0059.jpg,banana,unripe,banana_unripe,6
..\data\raw\banana\overripe\banana_overripe_0027.jpg,banana,overripe,banana_overripe,8
..\data\raw\mango\unripe\mango_unripe_0097.jpg,mango,unripe,mango_unripe,3
..\data\raw\banana\unripe\banana_unripe_0084.jpg,banana,unripe,banana_unripe,6
..\data\raw\mango\overripe\mango_overripe_0071.jpg,mango,overripe,mango_overripe,5
..\data\raw\banana\ripe\banana_ripe_0048.jpg,banana,ripe,banana_ripe,7
..\data\raw\banana\ripe\banana_ripe_0081.jpg,banana,ripe,banana_ripe,7
..\data\raw\tomato\overripe\tomato_overripe_0043.jpg,tomato,overripe,tomato_overripe,2
..\data\raw\mango\unripe\mango_unripe_0058.jpg,mango,unripe,mango_unripe,3
..\data\raw\banana\ripe\banana_ripe_0037.jpg,banana,ripe,banana_ripe,7
..\data\raw\mango\ripe\mango_ripe_0096.jpg,mango,ripe,mango_ripe,4
..\data\raw\tomato\overripe\tomato_overripe_0003 - Copy.jpg,tomato,overripe,tomato_overripe,2
..\data\raw\mango\unripe\mango_unripe_0026.jpg,mango,unripe,mango_unripe,3
..\data\raw\mango\overripe\mango_overripe_0001.jpg,mango,overripe,mango_overripe,5
..\data\raw\banana\ripe\banana_ripe_0056.jpg,banana,ripe,banana_ripe,7
..\data\raw\tomato\ripe\tomato_ripe_0059.jpg,tomato,ripe,tomato_ripe,1
..\data\raw\banana\ripe\banana_ripe_0084.jpg,banana,ripe,banana_ripe,7
..\data\raw\banana\ripe\banana_ripe_0073.jpg,banana,ripe,banana_ripe,7
..\data\raw\tomato\ripe\tomato_ripe_0083.jpg,tomato,ripe,tomato_ripe,1
..\data\raw\tomato\overripe\tomato_overripe_0006.jpg,tomato,overripe,tomato_overripe,2
..\data\raw\tomato\overripe\tomato_overripe_0077.jpg,tomato,overripe,tomato_overripe,2
..\data\raw\banana\overripe\banana_overripe_0004.jpg,banana,overripe,banana_overripe,8
..\data\raw\tomato\unripe\tomato_unripe_0089.jpg,tomato,unripe,tomato_unripe,0
..\data\raw\mango\unripe\mango_unripe_0049.jpg,mango,unripe,mango_unripe,3
..\data\raw\tomato\unripe\tomato_unripe_0091.jpg,tomato,unripe,tomato_unripe,0
..\data\raw\tomato\unripe\tomato_unripe_0070.jpg,tomato,unripe,tomato_unripe,0
..\data\raw\banana\unripe\banana_unripe_0039.jpg,banana,unripe,banana_unripe,6
..\data\raw\banana\unripe\banana_unripe_0038.jpg,banana,unripe,banana_unripe,6
..\data\raw\tomato\unripe\tomato_unripe_0011.jpg,tomato,unripe,tomato_unripe,0
..\data\raw\tomato\ripe\tomato_ripe_0029.jpg,tomato,ripe,tomato_ripe,1
..\data\raw\banana\unripe\banana_unripe_0082.jpg,banana,unripe,banana_unripe,6
..\data\raw\tomato\ripe\tomato_ripe_0055.jpg,tomato,ripe,tomato_ripe,1
..\data\raw\mango\overripe\mango_overripe_0013.jpg,mango,overripe,mango_overripe,5
..\data\raw\mango\unripe\mango_unripe_0066.jpg,mango,unripe,mango_unripe,3
..\data\raw\banana\unripe\banana_unripe_0051.jpg,banana,unripe,banana_unripe,6
..\data\raw\tomato\overripe\tomato_overripe_0049.jpg,tomato,overripe,tomato_overripe,2
..\data\raw\tomato\ripe\tomato_ripe_0018.jpg,tomato,ripe,tomato_ripe,1
..\data\raw\banana\ripe\banana_ripe_0087.jpg,banana,ripe,banana_ripe,7
..\data\raw\banana\ripe\banana_ripe_0017.jpg,banana,ripe,banana_ripe,7
..\data\raw\banana\overripe\banana_overripe_0099.jpg,banana,overripe,banana_overripe,8
..\data\raw\tomato\ripe\tomato_ripe_0089.jpg,tomato,ripe,tomato_ripe,1
..\data\raw\tomato\ripe\tomato_ripe_0074.jpg,tomato,ripe,tomato_ripe,1
..\data\raw\tomato\unripe\tomato_unripe_0068.jpg,tomato,unripe,tomato_unripe,0
..\data\raw\mango\ripe\mango_ripe_0017.jpg,mango,ripe,mango_ripe,4
..\data\raw\banana\ripe\banana_ripe_0054.jpg,banana,ripe,banana_ripe,7
..\data\raw\mango\ripe\mango_ripe_0050.jpg,mango,ripe,mango_ripe,4
..\data\raw\mango\unripe\mango_unripe_0002.jpg,mango,unripe,mango_unripe,3
..\data\raw\banana\overripe\banana_overripe_0095.jpg,banana,overripe,banana_overripe,8
..\data\raw\tomato\unripe\tomato_unripe_0048.jpg,tomato,unripe,tomato_unripe,0
..\data\raw\mango\unripe\mango_unripe_0041.jpg,mango,unripe,mango_unripe,3
..\data\raw\mango\overripe\mango_overripe_0008.jpg,mango,overripe,mango_overripe,5
..\data\raw\mango\overripe\mango_overripe_0051.jpg,mango,overripe,mango_overripe,5
..\data\raw\banana\ripe\banana_ripe_0098.jpg,banana,ripe,banana_ripe,7
..\data\raw\mango\unripe\mango_unripe_0098.jpg,mango,unripe,mango_unripe,3
..\data\raw\tomato\unripe\tomato_unripe_0059.jpg,tomato,unripe,tomato_unripe,0
..\data\raw\banana\ripe\banana_ripe_0086.jpg,banana,ripe,banana_ripe,7
..\data\raw\mango\unripe\mango_unripe_0003.jpg,mango,unripe,mango_unripe,3
..\data\raw\banana\overripe\banana_overripe_0093.jpg,banana,overripe,banana_overripe,8
..\data\raw\mango\overripe\mango_overripe_0076.jpg,mango,overripe,mango_overripe,5
..\data\raw\tomato\overripe\tomato_overripe_0004 - Copy.jpg,tomato,overripe,tomato_overripe,2
..\data\raw\mango\unripe\mango_unripe_0044.jpg,mango,unripe,mango_unripe,3
..\data\raw\tomato\unripe\tomato_unripe_0013.jpg,tomato,unripe,tomato_unripe,0
..\data\raw\tomato\overripe\tomato_overripe_0007 - Copy.jpg,tomato,overripe,tomato_overripe,2
..\data\raw\banana\overripe\banana_overripe_0056.jpg,banana,overripe,banana_overripe,8
..\data\raw\banana\ripe\banana_ripe_0035.jpg,banana,ripe,banana_ripe,7
..\data\raw\mango\unripe\mango_unripe_0052.jpg,mango,unripe,mango_unripe,3
..\data\raw\mango\unripe\mango_unripe_0015.jpg,mango,unripe,mango_unripe,3
..\data\raw\banana\ripe\banana_ripe_0065.jpg,banana,ripe,banana_ripe,7
..\data\raw\tomato\overripe\tomato_overripe_0005 - Copy.jpg,tomato,overripe,tomato_overripe,2
..\data\raw\tomato\ripe\tomato_ripe_0040.jpg,tomato,ripe,tomato_ripe,1
..\data\raw\mango\overripe\mango_overripe_0059.jpg,mango,overripe,mango_overripe,5
..\data\raw\mango\overripe\mango_overripe_0017.jpg,mango,overripe,mango_overripe,5
..\data\raw\mango\overripe\mango_overripe_0006.jpg,mango,overripe,mango_overripe,5
..\data\raw\tomato\ripe\tomato_ripe_0080.jpg,tomato,ripe,tomato_ripe,1
..\data\raw\mango\unripe\mango_unripe_0068.jpg,mango,unripe,mango_unripe,3
..\data\raw\mango\overripe\mango_overripe_0011.jpg,mango,overripe,mango_overripe,5
..\data\raw\banana\overripe\banana_overripe_0085.jpg,banana,overripe,banana_overripe,8
..\data\raw\banana\overripe\banana_overripe_0078.jpg,banana,overripe,banana_overripe,8
..\data\raw\tomato\overripe\tomato_overripe_0033.jpg,tomato,overripe,tomato_overripe,2
..\data\raw\mango\unripe\mango_unripe_0013.jpg,mango,unripe,mango_unripe,3
..\data\raw\mango\unripe\mango_unripe_0076.jpg,mango,unripe,mango_unripe,3
..\data\raw\tomato\overripe\tomato_overripe_0084.jpg,tomato,overripe,tomato_overripe,2
..\data\raw\tomato\ripe\tomato_ripe_0097.jpg,tomato,ripe,tomato_ripe,1
..\data\raw\mango\unripe\mango_unripe_0021.jpg,mango,unripe,mango_unripe,3
..\data\raw\mango\overripe\mango_overripe_0031.jpg,mango,overripe,mango_overripe,5
..\data\raw\tomato\ripe\tomato_ripe_0072.jpg,tomato,ripe,tomato_ripe,1
..\data\raw\banana\unripe\banana_unripe_0025.jpg,banana,unripe,banana_unripe,6
..\data\raw\mango\unripe\mango_unripe_0060.jpg,mango,unripe,mango_unripe,3
..\data\raw\banana\unripe\banana_unripe_0094.jpg,banana,unripe,banana_unripe,6
..\data\raw\tomato\ripe\tomato_ripe_0071.jpg,tomato,ripe,tomato_ripe,1
..\data\raw\mango\unripe\mango_unripe_0078.jpg,mango,unripe,mango_unripe,3
..\data\raw\tomato\overripe\tomato_overripe_0038.jpg,tomato,overripe,tomato_overripe,2
..\data\raw\tomato\overripe\tomato_overripe_0044.jpg,tomato,overripe,tomato_overripe,2
..\data\raw\mango\overripe\mango_overripe_0002.jpg,mango,overripe,mango_overripe,5
..\data\raw\tomato\unripe\tomato_unripe_0006.jpg,tomato,unripe,tomato_unripe,0
..\data\raw\mango\ripe\mango_ripe_0026.jpg,mango,ripe,mango_ripe,4
..\data\raw\mango\ripe\mango_ripe_0080.jpg,mango,ripe,mango_ripe,4
..\data\raw\banana\unripe\banana_unripe_0092.jpg,banana,unripe,banana_unripe,6
..\data\raw\tomato\unripe\tomato_unripe_0036.jpg,tomato,unripe,tomato_unripe,0
..\data\raw\banana\unripe\banana_unripe_0030.jpg,banana,unripe,banana_unripe,6
..\data\raw\banana\ripe\banana_ripe_0075.jpg,banana,ripe,banana_ripe,7
..\data\raw\mango\ripe\mango_ripe_0028.jpg,mango,ripe,mango_ripe,4
..\data\raw\tomato\ripe\tomato_ripe_0041.jpg,tomato,ripe,tomato_ripe,1
..\data\raw\banana\overripe\banana_overripe_0043.jpg,banana,overripe,banana_overripe,8
..\data\raw\banana\overripe\banana_overripe_0019.jpg,banana,overripe,banana_overripe,8
..\data\raw\banana\ripe\banana_ripe_0001.jpg,banana,ripe,banana_ripe,7
..\data\raw\banana\unripe\banana_unripe_0034.jpg,banana,unripe,banana_unripe,6
..\data\raw\mango\overripe\mango_overripe_0088.jpg,mango,overripe,mango_overripe,5
..\data\raw\mango\overripe\mango_overripe_0033.jpg,mango,overripe,mango_overripe,5
..\data\raw\mango\overripe\mango_overripe_0078.jpg,mango,overripe,mango_overripe,5
..\data\raw\tomato\ripe\tomato_ripe_0047.jpg,tomato,ripe,tomato_ripe,1
..\data\raw\tomato\ripe\tomato_ripe_0037.jpg,tomato,ripe,tomato_ripe,1
..\data\raw\banana\ripe\banana_ripe_0062.jpg,banana,ripe,banana_ripe,7
..\data\raw\banana\unripe\banana_unripe_0079.jpg,banana,unripe,banana_unripe,6
..\data\raw\tomato\ripe\tomato_ripe_0011.jpg,tomato,ripe,tomato_ripe,1
..\data\raw\mango\overripe\mango_overripe_0052.jpg,mango,overripe,mango_overripe,5
..\data\raw\banana\overripe\banana_overripe_0030.jpg,banana,overripe,banana_overripe,8
..\data\raw\mango\overripe\mango_overripe_0024.jpg,mango,overripe,mango_overripe,5
..\data\raw\tomato\unripe\tomato_unripe_0032.jpg,tomato,unripe,tomato_unripe,0
..\data\raw\mango\overripe\mango_overripe_0010.jpg,mango,overripe,mango_overripe,5
..\data\raw\tomato\overripe\tomato_overripe_0076.jpg,tomato,overripe,tomato_overripe,2
..\data\raw\banana\overripe\banana_overripe_0011.jpg,banana,overripe,banana_overripe,8
..\data\raw\banana\overripe\banana_overripe_0006.jpg,banana,overripe,banana_overripe,8
..\data\raw\banana\overripe\banana_overripe_0040.jpg,banana,overripe,banana_overripe,8
..\data\raw\tomato\overripe\tomato_overripe_0081.jpg,tomato,overripe,tomato_overripe,2
..\data\raw\tomato\unripe\tomato_unripe_0029.jpg,tomato,unripe,tomato_unripe,0
..\data\raw\banana\ripe\banana_ripe_0020.jpg,banana,ripe,banana_ripe,7
..\data\raw\banana\unripe\banana_unripe_0060.jpg,banana,unripe,banana_unripe,6
..\data\raw\mango\unripe\mango_unripe_0029.jpg,mango,unripe,mango_unripe,3
..\data\raw\mango\unripe\mango_unripe_0019.jpg,mango,unripe,mango_unripe,3
..\data\raw\banana\overripe\banana_overripe_0028.jpg,banana,overripe,banana_overripe,8
..\data\raw\banana\overripe\banana_overripe_0049.jpg,banana,overripe,banana_overripe,8
..\data\raw\tomato\ripe\tomato_ripe_0053.jpg,tomato,ripe,tomato_ripe,1
..\data\raw\tomato\overripe\tomato_overripe_0003.jpg,tomato,overripe,tomato_overripe,2
..\data\raw\banana\unripe\banana_unripe_0009.jpg,banana,unripe,banana_unripe,6
..\data\raw\mango\unripe\mango_unripe_0012.jpg,mango,unripe,mango_unripe,3
..\data\raw\tomato\unripe\tomato_unripe_0037.jpg,tomato,unripe,tomato_unripe,0
..\data\raw\banana\ripe\banana_ripe_0082.jpg,banana,ripe,banana_ripe,7
..\data\raw\banana\ripe\banana_ripe_0063.jpg,banana,ripe,banana_ripe,7
..\data\raw\tomato\overripe\tomato_overripe_0053.jpg,tomato,overripe,tomato_overripe,2
..\data\raw\tomato\overripe\tomato_overripe_0032.jpg,tomato,overripe,tomato_overripe,2
..\data\raw\tomato\unripe\tomato_unripe_0027.jpg,tomato,unripe,tomato_unripe,0
..\data\raw\mango\overripe\mango_overripe_0000.jpg,mango,overripe,mango_overripe,5
..\data\raw\mango\overripe\mango_overripe_0079.jpg,mango,overripe,mango_overripe,5
..\data\raw\banana\unripe\banana_unripe_0064.jpg,banana,unripe,banana_unripe,6
..\data\raw\mango\overripe\mango_overripe_0040.jpg,mango,overripe,mango_overripe,5
..\data\raw\tomato\unripe\tomato_unripe_0035.jpg,tomato,unripe,tomato_unripe,0
..\data\raw\banana\overripe\banana_overripe_0010.jpg,banana,overripe,banana_overripe,8
..\data\raw\banana\overripe\banana_overripe_0033.jpg,banana,overripe,banana_overripe,8
..\data\raw\tomato\ripe\tomato_ripe_0061.jpg,tomato,ripe,tomato_ripe,1
..\data\raw\tomato\ripe\tomato_ripe_0008.jpg,tomato,ripe,tomato_ripe,1
..\data\raw\banana\unripe\banana_unripe_0070.jpg,banana,unripe,banana_unripe,6
..\data\raw\tomato\unripe\tomato_unripe_0019.jpg,tomato,unripe,tomato_unripe,0
..\data\raw\tomato\ripe\tomato_ripe_0035.jpg,tomato,ripe,tomato_ripe,1
..\data\raw\tomato\unripe\tomato_unripe_0084.jpg,tomato,unripe,tomato_unripe,0
..\data\raw\banana\overripe\banana_overripe_0036.jpg,banana,overripe,banana_overripe,8
..\data\raw\mango\ripe\mango_ripe_0038.jpg,mango,ripe,mango_ripe,4
..\data\raw\mango\unripe\mango_unripe_0079.jpg,mango,unripe,mango_unripe,3
..\data\raw\tomato\overripe\tomato_overripe_0092.jpg,tomato,overripe,tomato_overripe,2
..\data\raw\banana\ripe\banana_ripe_0059.jpg,banana,ripe,banana_ripe,7
..\data\raw\mango\overripe\mango_overripe_0073.jpg,mango,overripe,mango_overripe,5
..\data\raw\banana\overripe\banana_overripe_0017.jpg,banana,overripe,banana_overripe,8
..\data\raw\mango\overripe\mango_overripe_0042.jpg,mango,overripe,mango_overripe,5
..\data\raw\mango\unripe\mango_unripe_0042.jpg,mango,unripe,mango_unripe,3
..\data\raw\mango\overripe\mango_overripe_0067.jpg,mango,overripe,mango_overripe,5
..\data\raw\tomato\overripe\tomato_overripe_0090.jpg,tomato,overripe,tomato_overripe,2
..\data\raw\tomato\ripe\tomato_ripe_0087.jpg,tomato,ripe,tomato_ripe,1
..\data\raw\banana\overripe\banana_overripe_0031.jpg,banana,overripe,banana_overripe,8
..\data\raw\banana\ripe\banana_ripe_0005.jpg,banana,ripe,banana_ripe,7
..\data\raw\banana\unripe\banana_unripe_0049.jpg,banana,unripe,banana_unripe,6
..\data\raw\mango\overripe\mango_overripe_0091.jpg,mango,overripe,mango_overripe,5
..\data\raw\tomato\overripe\tomato_overripe_0079.jpg,tomato,overripe,tomato_overripe,2
..\data\raw\banana\unripe\banana_unripe_0056.jpg,banana,unripe,banana_unripe,6
..\data\raw\tomato\overripe\tomato_overripe_0007.jpg,tomato,overripe,tomato_overripe,2
